BookID,FirstName,MiddleNames,LastName,Role
13459,David,Harrison,Barlow,Author
13459,Vincent,Mark,Durand,Author
13460,Ray,,Summers,Author
13461,David,W,Ball,Author
13462,George,B,Johnson,Author
13463,Edith,,Wharton,Author
13464,Mike,,Bechtle,Author
13465,Stephen,,Arterburn,Author
13465,Fred,,Stoeker,Author
13465,Mike,,Yorkey,Author
13466,Jay,,Strack,Author
13467,J,Scott,Duvall,Author
13468,Bobby,H,Welch,Author
13468,G,Dwayne,McCrary,Author
13468,David,,Apple,Author
13468,Doug,,Williams,Author
13469,Simon,,Singh,Author
13470,Daniel,L,Akin,Author
13471,David,,Platt,Author
13472,Jason,,Hayes,Author
13473,Mark,L,Strauss,Author
13474,Mary,Wollstonecraft,Shelley,Author
13475,Jon,,Meacham,Author
13476,Henry,T,Blackaby,Author
